"HESCategory","OPCSCode","CodeNoDot","CodeDesc"
14,"W19.6","W196","Primary open reduction of fragment of bone and fixation using wire system"
14,"W19.8","W198","Other specified"
14,"W19.9","W199","Unspecified"
14,"W20.1","W201","Primary open reduction of fracture of long bone and extramedullary fixation using plate not elsewhere classified"
14,"W20.2","W202","Primary open reduction of fracture of long bone and extramedullary fixation using circlage"
14,"W20.3","W203","Primary open reduction of fracture of long bone and extramedullary fixation using suture"
14,"W20.4","W204","Primary open reduction of fracture of long bone and extramedullary fixation not elsewhere classified"
14,"W20.5","W205","Primary open reduction of fracture of ankle and extramedular fixation not elsewhere classified"
14,"W20.8","W208","Other specified"
14,"W20.9","W209","Unspecified primary open reduction of fracture of bone and extramedullary fixation"
14,"W22.1","W221","Primary open reduction of fracture of bone and skeletal traction HFQ"
14,"W22.2","W222","Primary open reduction of fracture of bone and external fixation HFQ"
14,"W22.8","W228","Other specified"
14,"W22.9","W229","Unspecified"
14,"W23.1","W231","Secondary open reduction of fracture of bone and intramedullary fixation HFQ"
14,"W23.2","W232","Secondary open reduction of fracture of bone and extramedullary fixation HFQ"
14,"W23.4","W234","Secondary open reduction of fracture of bone and skeletal traction HFQ"
14,"W23.5","W235","Secondary open reduction of fracture of bone and external fixation HFQ"
14,"W23.6","W236","Secondary open reduction of fracture of bone and internal fixation HFQ"
14,"W23.8","W238","Other specified"
14,"W23.9","W239","Unspecified"
14,"W24.2","W242","Closed reduction of fracture of long bone and rigid internal fixation NEC"
14,"W24.3","W243","Closed reduction of fracture of long bone and flexible internal fixation HFQ"
14,"W24.5","W245","Closed reduction of fragment of bone and fixation using screw"
15,"W46.1","W461","Primary prosthetic replacement of head of femur using cement"
15,"W46.2","W462","Conversion to prosthetic replacement of head of femur using cement"
15,"W46.3","W463","Revision of prosthetic replacement of head of femur using cement"
15,"W46.8","W468","Other specified"
15,"W46.9","W469","Unspecified"
15,"W46.0","W460","Conversion from previous cemented prosthetic replacement of head of femur"
15,"W47.1","W471","Primary prosthetic replacement of head of femur not using cement"
15,"W47.2","W472","Conversion to prosthetic replacement of head of femur not using cement"
15,"W47.3","W473","Revision of prosthetic replacement of head of femur not using cement"
15,"W47.8","W478","Other specified"
15,"W47.9","W479","Unspecified"
15,"W47.0","W470","Conversion from previous uncemented prosthetic replacement of head of femur"
15,"W48.1","W481","Primary prosthetic replacement of head of femur not elsewhere classified"
15,"W48.2","W482","Conversion to prosthetic replacement of head of femur not elsewhere classified"
5,"G40.2","G402","Repair of congenital atresia of pylorus"
5,"G40.3","G403","Pyloroplasty not elsewhere classified"
5,"G40.4","G404","Revision of pylorplasty"
5,"G40.5","G405","Closure of pylorplasty"
5,"G40.6","G406","Open dilation of pylorus"
5,"G40.8","G408","Other specified incision of pylorus"
8,"H14.9","H149","Unspecified"
8,"H15.1","H151","Loop colostomy (Clean-Contaminated)"
8,"H15.2","H152","End colostomy (Clean-Contaminated)"
8,"H15.3","H153","Refashioning of colostomy (Contaminated)"
8,"H15.4","H154","Closure of colostomy (Contaminated)"
8,"H15.6","H156","Reduction of prolapse of colostomy (Clean-Contaminated)"
8,"H15.8","H158","Other specified"
8,"H15.9","H159","Unspecified"
8,"H16.1","H161","Drainage of colon"
8,"H16.2","H162","Caecotomy"
8,"H16.3","H163","Colotomy"
8,"H16.8","H168","Other specified"
8,"H16.9","H169","Unspecified"
8,"H29.1","H291","Subtotal excision of colon and rectum and creation of colonic pouch and anastomosis of colon to anus"
8,"H29.2","H292","Subtotal excision of colon and rectum and creation of colonic pouch NEC"
8,"H29.3","H293","Subtotal excision of colon and creation of colonic pouch and anastomosis of colon to rectum."
8,"H29.4","H294","Subtotal excision of colon and creation of colonic pouch NEC"
8,"H29.8","H298","Other specified subtotal excision of colon"
8,"H29.9","H299","Unspecified subtotal excision of colon"
8,"H33.1","H331","Abdominoperineal excision of rectum and end colostomy"
8,"H33.2","H332","Proctectomy and anastomosis of colon to anus"
8,"H33.3","H333","Anterior resection of rectum and anastomosis of colon to rectum using staples"
8,"H33.4","H334","Anterior resection of rectum and anastomosis not elsewhere classified"
8,"H33.5","H335","Rectosigmoidectomy and closure of rectal stump and exteriorisation of bowel*"
8,"H33.6","H336","Anterior resection of rectum and exteriorisation of bowel*"
8,"H33.7","H337","Perineal resection of rectum HFQ"
8,"H33.8","H338","Other specified"
8,"H33.9","H339","Unspecified"
9,"X07.1","X071","Forequarter amputation"
9,"X07.2","X072","Disarticulation of shoulder"
9,"X07.3","X073","Amputation of arm above elbow"
9,"X07.4","X074","Amputation of arm through elbow"
9,"X07.5","X075","Amputation of arm through forearm"
9,"X07.8","X078","Other specified"
9,"X07.9","X079","Unspecified"
9,"X08.1","X081","Amputation of hand at wrist"
9,"X08.2","X082","Amputation of thumb"
9,"X08.3","X083","Amputation of phalanx of finger"
9,"X08.4","X084","Amputation of finger not elsewhere classified"
9,"X08.8","X088","Other specified"
9,"X08.9","X089","Unspecified"
9,"X09.1","X091","Hindquarter amputation"
9,"X09.2","X092","Disarticulation of hip"
9,"X09.3","X093","Amputation of leg above knee"
9,"X09.4","X094","Amputation of leg through knee"
9,"X09.5","X095","Amputation of leg below knee"
9,"X09.8","X098","Other specified"
9,"X09.9","X099","Unspecified"
9,"X10.1","X101","Amputation of foot through ankle"
9,"X10.2","X102","Disarticulation of tarsal bones"
9,"X10.3","X103","Disarticulation of metatarsal bones"
9,"X10.4","X104","Amputation through metatarsal bones"
9,"X10.8","X108","Other specified"
9,"X10.9","X109","Unspecified"
11,"G75.8","G758","Other specified (Clean-Contaminated)"
11,"G75.9","G759","Unspecified (Clean-Contaminated)"
11,"G78.2","G782","Strictureplasty of ileum (Clean-Contaminated)"
11,"G78.3","G783","Removal of foreign body from ileum (Clean-Contaminated)"
11,"G78.4","G784","Closure of perforation of ileum (Contaminated)"
11,"G78.5","G785","Exclusion of segment of ileum (Clean-Contaminated)"
11,"G78.8","G788","Other specified (Clean-Contaminated)"
11,"G78.9","G789","Unspecified (Clean-Contaminated)"
16,"V22.1","V221","Primary anterior decompression of cervical spinal cord and fusion of cervical spine"
16,"V22.2","V222","Primary anterior decompression of cervical spinal cord NEC"
16,"V22.3","V223","Primary foraminotomy of cervical spine"
16,"V22.4","V224","Primary anterior corpectomy of cervical spine with reconstruction HFQ"
16,"V22.5","V225","Primary decompression of posterior fossa and upper cervical spinal cord and instrumentation"
16,"V22.6","V226","Primary decompression of posterior fossa and upper cervical spinal cord NEC"
16,"V22.7","V227","Primary laminoplasty of cervical spine"
16,"V22.8","V228","Other specified"
16,"V22.9","V229","Unspecified"
16,"V23.1","V231","Revisional anterior decompression of cervical spinal cord and fusion of cervical spine"
16,"V23.2","V232","Revisional anterior decompression of cervical spinal cord NEC"
16,"V23.3","V233","Revisional foraminotomy of cervical spine."
16,"V23.4","V234","Revisional anterior corpectomy of cervical spine with reconstruction HFQ"
16,"V23.5","V235","Revisional decompression of posterior fossa and upper cervical spinal cord and instrumentation"
16,"V23.6","V236","Revisional decompression of posterior fossa and upper cervical spinal cord NEC"
16,"V23.7 ","V237 ","Revisional laminoplasty of cervical spine"
16,"V23.8","V238","Other specified"
16,"V23.9","V239","Unspecified"
16,"V24.1","V241","Primary decompression of thoracic spinal cord and fusion of thoracic spine"
16,"V24.2","V242","Primary decompression of thoracic spinal cord NEC"
16,"V24.3","V243","Revisional decompression of thoracic spinal cord NEC"
16,"V24.4","V244","Primary anterior corpectomy of thoracic spine with reconstruction HFQ"
16,"V24.5","V245","Revisional anterior corpectomy of thoracic spine and reconstruction HFQ"
16,"V24.8","V248","Other specified"
16,"V24.9","V249","Unspecified"
16,"V25.1 ","V251 ","Primary extended decompression of lumbar spinal cord and intertransverse fusion of joint of lumbar spine"
16,"V25.2","V252","Primary extended decompression of lumbar spinal cord NEC"
7,"W42.2","W422","Conversion to total prosthetic replacement of knee joint not elsewhere classified"
7,"W42.3","W423","Revision of total prosthetic replacement of knee joint not elsewhere classified"
7,"W42.8","W428","Other specified"
7,"W42.9","W429","Unspecified"
7,"W42.0","W420","Conversion from previous total prosthetic replacement of knee joint not elsewhere classified"
7,"W42.5","W425","Revision of one component of total prosthetic replacement of knee joint NEC"
7,"W52.1","W521","Primary prosthetic replacement of articulation of bone using cement not elsewhere classified"
7,"W52.2","W522","Conversions to prosthetic replacement of articulation of bone using cement not elsewhere classified"
7,"W52.3","W523","Revision of prosthetic replacement of articulation of bone using cement not elsewhere classified"
7,"W52.8","W528","Other specified"
7,"W52.9","W529","Unspecified"
12,"L20.2","L202","Emergency bypass of segment of thoracic aorta by anastomosis of aorta to aorta not elsewhere classified"
12,"L20.3","L203","Emergency bypass of segment of suprarenal abdominal aorta by anastomosis of aorta to aorta not elsewhere classified"
12,"L20.4","L204","Emergency bypass of segment of infrarenal abdominal aorta by anastomosis of aorta to aorta not elsewhere classified"
12,"L20.5","L205","Emergency bypass of segment of abdominal aorta by anastomosis of aorta to aorta not elsewhere classified"
12,"L20.6","L206","Emergency bypass of bifurcation of aorta by anastomosis of aorta to iliac artery not elsewhere classified"
12,"L20.8","L208","Other specified"
12,"L20.9","L209","Unspecified"
12,"L21.1","L211","Bypass of segment of ascending aorta by anastomosis of aorta to aorta not elsewhere classified"
12,"L21.2","L212","Bypass of segment of thoracic aorta by anastomosis of aorta to aorta not elsewhere classified"
15,"W48.3","W483","Revision of prosthetic replacement of head of femur not elsewhere classified"
15,"W48.8","W488","Other specified"
15,"W48.9","W489","Unspecified"
15,"W48.0","W480","Conversion from previous prosthetic replacement of head of femur not elsewhere classified"
15,"W19.1","W191","Primary open reduction of fracture of neck of femur and open fixation using pin and plate"
15,"W24.1","W241","Closed reduction of intracapsular fracture of the neck of femur and fixation using nail or screw"
11,"G49.1","G491","Gastroduodenectomy"
11,"G49.2","G492","Total excision of duodenum"
11,"G49.3","G493","Partial excision of duodenum"
11,"G49.8","G498","Other specified"
11,"G49.9","G499","Unspecified"
11,"G50.1","G501","Excision of lesion of duodenum"
11,"G50.2","G502","Open destruction of lesion of duodenum"
11,"G50.8","G508","Other specified"
11,"G50.9","G509","Unspecified"
11,"G51.1","G511","Bypass of duodenum by anastomosis of stomach to jejunum"
11,"G51.2","G512","Bypass of duodenum by anastomosis of duodenum to duodenum"
11,"G51.3","G513","Bypass of duodenum by anastomosis of duodenum to jejunum"
11,"G51.8","G518","Other specified"
11,"G51.9","G519","Unspecified"
11,"G52.1","G521","Closure of perforated ulcer of duodenum (Contaminated)"
11,"G52.2","G522","Suture of ulcer of duodenum not elsewhere classified (Clean-Contaminated)"
11,"G52.3","G523","Oversew of blood vessel of duodenal ulcer"
11,"G52.8","G528","Other specified"
11,"G52.9","G529","Unspecified"
11,"G53.2","G532","Closure of perforation of duodenum not elsewhere classified (Contaminated)"
11,"G53.3","G533","Open removal of foreign body, from duodenum (Clean-Contaminated)"
11,"G53.5","G535","Incision of duodenum not elsewhere classified"
11,"G58.1","G581","Total jejunectomy and anastomosis of stomach to ileum"
11,"G58.2","G582","Total jejunectomy and anastomosis of duodenum to ileum"
11,"G58.4","G584","Partial jejunectomy and anastomosis of jejunum to ileum"
11,"G58.8","G588","Other specified"
11,"G58.9","G589","Unspecified"
11,"G59.1","G591","Excision of lesion of jejunum"
11,"G59.2","G592","Open destruction of lesion of jejunum"
11,"G59.8","G598","Other specified"
11,"G59.9","G599","Unspecified"
11,"G60.1","G601","Creation of jejunostomy (Clean-Contaminated)"
11,"G60.2","G602","Refashioning of jejunostomy (Contaminated)"
11,"G60.3","G603","Closure of jejunostomy (Contaminated)"
11,"G60.8","G608","Other specified"
11,"G60.9","G609","Unspecified"
11,"G61.1","G611","Bypass of jejunum by anastomosis of jejunum to jejunum"
11,"G61.2","G612","Bypass of jejunum by anastomosis of jejunum to ileum"
11,"G61.8","G618","Other specified"
11,"G61.9","G619","Other unspecified"
11,"G63.2","G632","Incision of jejunum (Clean-Contaminated)"
11,"G63.3","G633","Closure of perforation of jejunum (Contaminated)"
11,"G68.1","G681","Allotransplantation of ileum (Clean-Contaminated)"
11,"G68.8","G688","Other specified transplantation of ileum"
11,"G68.9","G689","Unspecified transplantation of ileum"
11,"G69.1","G691","Ileectomy and anastomosis of stomach to ileum"
11,"G69.2","G692","Ileectomy and anastomosis of duodenum to ileum"
11,"G69.3","G693","Ileectomy and anastomosis of ileum to ileum"
11,"G69.8","G698","Other specified"
11,"G69.9","G699","Unspecified"
11,"G70.1","G701","Excision of meckel diverticulum"
11,"G70.2","G702","Excision of lesion of ileum not elsewhere classified "
11,"G70.3","G703","Open destruction of lesion of ileum"
11,"G70.8","G708","Other specified"
11,"G70.9","G709","Unspecified"
11,"G71.1","G711","Bypass of ileum by anastomosis of jejunum to ileum"
12,"L41.5","L415","Translocation of branch of renal artery"
12,"L48.4","L484","Emergency replacement of aneurysmal artery of leg by anastomosis of aorta to superficial femoral artery"
12,"L48.5","L485","Emergency replacement of aneurysmal iliac artery by anastomosis of iliac artery to iliac artery"
